Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured
2491656,31-Dec-22,Arizona,Phoenix,4201 N 19th Ave,0,9
2492253,31-Dec-22,Alabama,Mobile,200 block of Dauphin St,1,8
2491054,30-Dec-22,Tennessee,Memphis,E Brooks Rd,1,3
2490925,30-Dec-22,Texas,Humble,4800 block of Park Square Ln,2,3
2489614,28-Dec-22,New York,Bronx,851 E Tremont Ave,1,3
2490150,28-Dec-22,Texas,Dallas,9500 block of Scyene Rd,0,6
2488952,27-Dec-22,District of Columbia,Washington,2300 block of Pennsylvania Ave SE,0,4
2489345,27-Dec-22,Ohio,Columbus,900 block of Bellows Ave,0,5
2489124,27-Dec-22,California,Eureka,4000 block of Crane St,2,2
2488209,26-Dec-22,Louisiana,New Orleans,2031 St Maurice Ave,2,4
2487989,24-Dec-22,Mississippi,Columbus,90 block of Luxapalila Dr,1,4
2487517,23-Dec-22,Kansas,Wichita,900 block of S Mission Rd,2,2
2485011,19-Dec-22,Florida,Lake City,NW Dixie Ave and NW Wright Ln,0,5
2484083,18-Dec-22,California,Santa Ana,2112 S Main St,1,3
2483594,18-Dec-22,Oklahoma,Oklahoma City,311 S Klein Ave,0,4
2483489,17-Dec-22,Georgia,Atlanta,3000 Continental Colony Pkwy SW,2,3
2482288,16-Dec-22,Illinois,Chicago,2150 S Laflin St,2,2
2483188,16-Dec-22,Georgia,Valdosta,611 E Ann St,2,2
2483108,16-Dec-22,Texas,Dallas,2691 John West Rd,0,5
2482711,16-Dec-22,Tennessee,Memphis,831 Springdale Run Dr,0,5
2482119,15-Dec-22,California,Los Angeles,Florence Ave,0,4
2480430,13-Dec-22,New York,Rochester,Atlantic Ave and Illinois St,1,4
2479678,12-Dec-22,New York,Bronx,388 E 141st St,0,4
2478664,11-Dec-22,Illinois,Chicago,3235 N Central Ave,3,1
2478061,9-Dec-22,Arizona,Phoenix,S 21st and W Burgess LN,1,3
2477622,8-Dec-22,Michigan,Detroit,1114 Washington Blvd,0,4
2477404,8-Dec-22,Louisiana,New Orleans,4242 Chef Menteur Hwy,0,4
2475554,6-Dec-22,New York,Bronx,Daly Ave and E 180th St,0,4
2475546,6-Dec-22,Georgia,Macon,159 Steven Dr,3,1
2474143,4-Dec-22,Illinois,Zion,1800 block of Horeb Ave,0,5
2472924,1-Dec-22,Texas,San Antonio,4200 block of S Cibolo St,0,4
2471298,30-Nov-22,Louisiana,Lake Charles,510 Broad St,0,8
2469354,27-Nov-22,Florida,Tallahassee,2101 Wahnish Way,1,4
