Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured
2201535,31-Dec-21,Maryland,Capitol Heights,Cindy Ln,0,4
2201716,31-Dec-21,Mississippi,Gulfport,1200 block of Lewis Ave,4,3
2201216,31-Dec-21,California,Los Angeles,10211 S. Avalon Blvd,0,6
2200968,30-Dec-21,Pennsylvania,Philadelphia,5100 block of Germantown Ave,0,7
2201052,30-Dec-21,Missouri,Kirksville,700 block of E Dodson St,3,1
2198521,27-Dec-21,Colorado,Denver,56 Broadway,6,2
2198014,27-Dec-21,Ohio,Youngstown,2626 Tyrell Ave,1,3
2200720,27-Dec-21,Alabama,Mobile,3606 Moffett Rd,1,3
2197178,26-Dec-21,Virginia,Clear Brook,I-81 S and Visitor Center Loop,1,4
2197391,26-Dec-21,Texas,Garland,730 W Walnut St,3,1
2198071,26-Dec-21,New York,Buffalo,1300 block of Jefferson Ave,0,4
2197421,26-Dec-21,Mississippi,Fayette,225 Community Dr,1,6
2197328,26-Dec-21,Pennsylvania,Philadelphia,800 block of W Clearfield St,0,4
2196827,25-Dec-21,Louisiana,Lafayette,2100 block of NE Evangeline Thruway,0,4
2196434,24-Dec-21,Georgia,Roswell,401 Huntington Dr,1,3
2196267,24-Dec-21,Pennsylvania,Pittsburgh,7300 block of Schoyer St,0,6
2196839,24-Dec-21,New York,Brooklyn,1031 Nostrand Ave,0,4
2193049,19-Dec-21,Illinois,Lovejoy (Brooklyn),213 Madison St,1,3
2191752,17-Dec-21,Maryland,Baltimore,600 block of Laurens St,1,3
2192046,17-Dec-21,Maryland,Baltimore,1300 block of W North Ave,1,4
2191683,17-Dec-21,Virginia,Portsmouth,4105 Portsmouth Blvd,0,4
2188999,13-Dec-21,California,Fresno,E Normal Ave and Mayfair Dr S,0,4
2188843,13-Dec-21,Pennsylvania,Philadelphia,3400 block of Emerald St,0,4
2188260,13-Dec-21,North Carolina,Durham,Eugene St and Mathison St,2,4
2187939,12-Dec-21,Mississippi,Bolton,6171 W. Northside Dr,0,6
2190367,12-Dec-21,Florida,Tampa,Alaska Ave,0,5
2187990,12-Dec-21,Texas,Baytown,1403 N Market Loop,1,13
2188066,12-Dec-21,Virginia,Woodbridge,13989 Jefferson Davis Hwy,0,4
2187027,11-Dec-21,Illinois,River Grove,3111 River Rd,1,3
2186517,10-Dec-21,Michigan,Lansing,Miller Rd and Cedar St,1,3
